simple_name,common_name_c,alternative_name_c,class
Herpestes urva,食蟹獴,,Mammalia
Hipposideros armiger,臺灣葉鼻蝠,,Mammalia
Callosciurus erythraeus,赤腹松鼠,,Mammalia
Canis lupus,狼,灰狼,Mammalia
Cervus nippon,臺灣梅花鹿,,Mammalia
Coelops frithii,臺灣無尾葉鼻蝠,,Mammalia
Crocidura rapax,長尾麝鼩,,Mammalia
Crocidura shantungensis,小麝鼩,荷氏小麝鼩,Mammalia
Nyctalus plancyi,絨山蝠,,Mammalia
Paguma larvata,白鼻心,,Mammalia
Phoca largha,斑海豹,,Mammalia
Pteropus dasymallus,臺灣狐蝠,,Mammalia
Rusa unicolor,臺灣水鹿,,Mammalia
Sus scrofa,野豬,,Mammalia
Tamiops maritimus,條紋松鼠,"臺灣帶紋松鼠,台灣帶紋松鼠",Mammalia
Capra aegagrus,野山羊,,Mammalia
Belomys pearsonii,小鼯鼠,,Mammalia
Sousa chinensis taiwanensis,臺灣白海豚,台灣白海豚,Mammalia
Pantherinae,,,Mammalia
Mus formosanus,月鼠,田鼷鼠,Mammalia
Kerivoulinae,,,Mammalia
Murininae,管鼻蝠亞科,,Mammalia
Myotinae,鼠耳蝠亞科,,Mammalia
Vespertilioninae,蝙蝠亞科,,Mammalia
Thainycteris torquatus,黃頸蝠,"黃喉家蝠,黃喉黑伏翼",Mammalia
Sciuromorpha,,,Mammalia
Sciurinae,,,Mammalia
Pteromyini,,,Mammalia
Callosciurinae,,,Mammalia
Myomorpha,,,Mammalia
Muroidea,,,Mammalia
Murinae,,,Mammalia
Arvicolinae,,,Mammalia
Alexandromys,,,Mammalia
Thainycteris,,,Mammalia
Neophocaena asiaeorientalis,窄脊露脊鼠海豚,"海豬,圓頭仔,江豬",Mammalia
