simple_name,common_name_c,alternative_name_c,class
Hirundapus,針尾雨燕屬,,Aves
Hirundo,燕屬,,Aves
Horornis,山樹鶯屬,,Aves
Hydrocoloeus,小鷗屬,,Aves
Hydrophasianus,水雉屬,,Aves
Hydroprogne,巨鷗屬,,Aves
Hypothymis,黑枕王鶲屬,,Aves
Hypsipetes,短腳鵯屬,,Aves
Ianthocincla,藍噪眉屬,藍噪鶥屬,Aves
Ichthyaetus,漁鷗屬,,Aves
Ictinaetus,林鵰屬,,Aves
Iduna,籬鶯屬,,Aves
Ixobrychus,葦鷺屬,,Aves
Jynx,蟻鴷屬,,Aves
Ketupa,魚鴞屬,,Aves
Lalage,鳴鵑鵙屬,,Aves
Lamprotornis,麗椋鳥屬,,Aves
Lanius,伯勞屬,,Aves
Larus,鷗屬,,Aves
Larvivora,鴝鳥屬,,Aves
Leiothrix,相思鳥屬,,Aves
Leucogeranus,白鶴屬,,Aves
Leucophaeus,笑鷗屬,,Aves
Lewinia,灰胸秧雞屬,,Aves
Limnodromus,半蹼鷸屬,,Aves
Limosa,塍鷸屬,,Aves
Liocichla,藪鶥屬,,Aves
Locustella,蝗鶯屬,,Aves
Lonchura,文鳥屬,,Aves
Lophura,鷴屬,,Aves
Loxia,交嘴雀屬,,Aves
Luscinia,歌鴝屬,,Aves
Lymnocryptes,姬鷸屬,,Aves
Machlolophus,黃山雀屬,,Aves
Macropygia,鵑鳩屬,,Aves
Mareca,亞鴨屬,,Aves
Melanocorypha,百靈屬,,Aves
Mergellus,小秋沙屬,,Aves
Mergus,秋沙屬,,Aves
Merops,蜂虎屬,,Aves
Milvus,鳶屬,,Aves
Monticola,磯鶇屬,,Aves
Motacilla,鶺鴒屬,,Aves
Muscicapa,鶲屬,,Aves
Myiomela,藍地鴝屬,,Aves
Myophonus,嘯鶇屬,,Aves
Amandava,,,Aves
Anhinga,,,Aves
Aratinga,,,Aves
Bycanistes,噪犀鳥屬,,Aves
Chloropsis,,,Aves
Chrysolophus,,,Aves
Gallus,原雞屬,,Aves
Melopsittacus,虎皮鸚鵡屬,,Aves
Struthio,鴕鳥屬,,Aves
Ixobrychus eurhythmus,秋小鷺,紫背葦鷺,Aves
Lanius cristatus lucionensis,紅尾伯勞,"紅尾伯勞(普通亞種),紅尾伯勞普通亞種,灰頭紅尾伯勞",Aves
Lanius sphenocercus,楔尾伯勞,,Aves
Larvivora akahige akahige,日本歌鴝,鴝鳥,Aves
Larvivora komadori komadori,琉球歌鴝,琉球鴝鳥,Aves
Larvivora sibilans,紅尾歌鴝,,Aves
Lewinia striata taiwana,灰胸秧雞,"灰胸秧雞(臺灣特有亞種),灰胸紋秧雞,灰胸秧雞臺灣特有亞種,灰胸秧雞臺灣亞種",Aves
Limnodromus semipalmatus,半蹼鷸,,Aves
Limosa limosa melanuroides,黑尾鷸,"黑尾塍鷸,黑尾鷸普通亞種",Aves
Lonchura atricapilla formosana,黑頭文鳥,"黑頭文鳥(台灣原生亞種),栗腹文鳥,黑頭文鳥台灣原生亞種,黑頭文鳥臺灣亞種",Aves
Lonchura atricapilla sinensis,黑頭文鳥(馬來亞種),"栗腹文鳥(馬來亞種),黑頭文鳥馬來亞種,栗腹文鳥馬來亞種,黑頭文鳥,栗腹文鳥",Aves
Lonchura punctulata topela,斑文鳥,,Aves
Lonchura striata swinhoei,白腰文鳥,尖尾文鳥,Aves
Lophura nycthemera,白鷴,銀雞,Aves
Mareca strepera,赤膀鴨,,Aves
Mergellus albellus,白秋沙,"小秋沙,白秋沙鴨,斑頭秋沙鴨",Aves
Mergus serrator,紅胸秋沙,海秋沙,Aves
Merops viridis,藍喉蜂虎,,Aves
Milvus migrans lineatus,黑鳶,"黑鳶(大陸亞種),黑耳鳶,老鷹,黑鳶大陸亞種",Aves
Monticola solitarius pandoo,藍磯鶇,"藍磯鶇(藍腹亞種),藍腹藍磯鶇,藍磯鶇藍腹亞種",Aves
Monticola solitarius philippensis,藍磯鶇,"藍磯鶇(棕腹亞種),棕腹藍磯鶇,藍磯鶇棕腹亞種",Aves
Motacilla alba baicalensis,白鶺鴒,"白鶺鴒(白面灰背亞種),白面灰背白鶺鴒,白面白鶺鴒,白鶺鴒白面灰背亞種",Aves
Motacilla alba dukhuensis,白鶺鴒(西部亞種),"白面白鶺鴒,白鶺鴒西部亞種",Aves
Motacilla flava thunbergi,西方黃鶺鴒,"西方黃鶺鴒(灰頭亞種),黃鶺鴒,灰頭黃鶺鴒,西方黃鶺鴒灰頭亞種",Aves
Muscicapa griseisticta,灰斑鶲,斑鶲,Aves
Tringa brevipes,黃足鷸,,Aves
Tringa stagnatilis,小青足鷸,澤鷸,Aves
Tringa totanus ussuriensis,赤足鷸,"赤足鷸(西伯利亞亞種),紅腳鷸,赤足鷸西伯利亞亞種",Aves
Turnix suscitator rostratus,棕三趾鶉,,Aves
Turnix tanki blanfordii,黃腳三趾鶉,,Aves
Urosphena squameiceps,短尾鶯,鱗頭樹鶯,Aves
Vanellus cinereus,跳鴴,灰頭麥雞,Aves
Vanellus vanellus,小辮鴴,鳳頭麥雞,Aves
Xema sabini,叉尾鷗,,Aves
Dendrocopos canicapillus,小啄木,,Aves
Egretta eulophotes,唐白鷺,黃嘴白鷺,Aves
Emberiza cioides castaneiceps,草鵐,三道眉草鵐,Aves
Eophona personata personata,桑鳲,"桑鳲(中國亞種),黃嘴雀,黑頭蠟嘴雀,桑鳲中國亞種",Aves
Ficedula hyperythra innexa,黃胸青鶲,"黃胸姬鶲,棕胸藍姬鶲",Aves
Ficedula mugimaki,白眉黃鶲,斑眉姬鶲,Aves
Ficedula narcissina,黃眉黃鶲,"黃眉姬鶲,黃眉黃鶲(黑背亞種)",Aves
Ficedula owstoni,琉球姬鶲,"黃眉黃鶲(暗綠背亞種),黃眉黃鶲,黃眉姬鶲,琉球鶲",Aves
Garrulus glandarius taivanus,松鴉,橿鳥,Aves
Glareola maldivarum,燕鴴,,Aves
Gorsachius goisagi,麻鷺,栗頭麻鷺,Aves
Grus grus,灰鶴,,Aves
Grus japonensis,丹頂鶴,仙鶴,Aves
Haematopus ostralegus osculans,蠣鴴,蠣鷸,Aves
Halcyon pileata,黑頭翡翠,,Aves
Halcyon smyrnensis fokiensis,蒼翡翠,白胸翡翠,Aves
Helopsaltes amnicola,庫頁島蝗鶯,,Aves
Locustella fasciolata,蒼眉蝗鶯,,Aves
Helopsaltes pleskei,史氏蝗鶯,,Aves
Heterophasia auricularis,白耳畫眉,白耳奇鶥,Aves
Himantopus himantopus,高蹺鴴,"長腳鷸,黑翅長腳鷸",Aves
Hydrobates matsudairae,日本叉尾海燕,煙黑叉尾海燕,Aves
Hydrobates monorhis,黑叉尾海燕,,Aves
Hydrobates tristrami,褐翅叉尾海燕,,Aves
Hypothymis azurea oberholseri,黑枕藍鶲,"黑枕藍鶲(台灣亞種),黑枕王鶲,黑枕藍鶲台灣亞種",Aves
Ichthyaetus ichthyaetus,漁鷗,,Aves
Bombycilla garrulus centralasiae,黃連雀,太平鳥,Aves
Botaurus stellaris stellaris,大麻鷺,,Aves
Bubulcus ibis coromandus,黃頭鷺,牛背鷺,Aves
Butastur indicus,灰面鵟鷹,灰面鷲,Aves
Butorides striata carcinophila,綠簑鷺,"綠簑鷺(台灣留鳥亞種),綠鷺,綠簑鷺台灣留鳥亞種",Aves
Calandrella dukhunensis,賽氏短趾百靈,大短趾百靈,Aves
Calcarius lapponicus coloratus,鐵爪鵐,,Aves
Calidris alpina sakhalina,黑腹濱鷸,"黑腹濱鷸(北部亞種),濱鷸,黑腹濱鷸北部亞種",Aves
Calidris canutus rogersi,紅腹濱鷸,"紅腹濱鷸(東部亞種),紅腹濱鷸(普通亞種),紅腹濱鷸東部亞種",Aves
Calidris melanotos,美洲尖尾濱鷸,"美洲尖尾鷸,斑胸濱鷸",Aves
Calidris pugnax,流蘇鷸,,Aves
Calidris pygmaea,琵嘴鷸,"勺嘴鷸,匙嘴鷸",Aves
Calidris subruficollis,黃胸鷸,,Aves
Calonectris leucomelas,大水薙鳥,"白額鸌,白額麗鸌",Aves
Carpodacus formosanus,臺灣朱雀,"酒紅朱雀,朱雀,台灣朱雀",Aves
Centropus bengalensis lignator,番鵑,小鴉鵑,Aves
Charadrius dealbatus,白臉鴴,"東方環頸鴴(華東亞種),東方環頸鴴",Aves
Chlidonias leucopterus,白翅黑燕鷗,白翅黑浮鷗,Aves
Chroicocephalus novaehollandiae forsteri,澳洲紅嘴鷗,,Aves
Chroicocephalus ridibundus,紅嘴鷗,,Aves
Ciconia nigra,黑鸛,,Aves
Circus spilonotus,東方澤鵟,"東方澤鷂,澤鵟",Aves
Cisticola exilis volitans,黃頭扇尾鶯,白頭錦鴝,Aves
Clamator coromandus,冠郭公,"栗翅鳳鵑,紅翅鳳頭鵑",Aves
Coccothraustes coccothraustes japonicus,臘嘴雀,錫嘴雀,Aves
Cuculus optatus,北方中杜鵑,"中杜鵑,筒鳥",Aves
Cuculus poliocephalus,小杜鵑,,Aves
Cuculus saturatus,喜馬拉雅中杜鵑,"中杜鵑,筒鳥",Aves
Curruca curruca,白喉林鶯,,Aves
Curruca nana,漠地林鶯,,Aves
Cyanoderma ruficeps praecognitum,山紅頭,紅頭穗鶥,Aves
Cygnus cygnus,黃嘴天鵝,大天鵝,Aves
Cyornis whitei,山藍仙鶲,,Aves
Dendrocopos leucotos insularis,大赤啄木,,Aves
Nipponia nippon,朱鷺,朱鹮,Aves
Numenius arquata orientalis,大杓鷸,白腰杓鷸,Aves
Numenius madagascariensis,黦鷸,紅腰杓鷸,Aves
Numenius phaeopus variegatus,中杓鷸,中杓鷸華東亞種,Aves
Nycticorax caledonicus manillensis,棕夜鷺,,Aves
Oenanthe isabellina,沙䳭,沙即鳥,Aves
Onychoprion fuscatus nubilosus,烏領燕鷗,大鳳頭燕鷗,Aves
Parus minor commixtus,白頰山雀,日本山雀,Aves
Parus monticolus insperatus,青背山雀,綠背山雀,Aves
Passer montanus saturatus,麻雀,"樹麻雀,厝尾鳥",Aves
Pernis ptilorhynchus orientalis,東方蜂鷹,"蜂鷹,雕頭鷹",Aves
Phaethon rubricauda melanorhynchos,紅尾熱帶鳥,紅尾鸏,Aves
Phalacrocorax capillatus,丹氏鸕鷀,暗綠背鸕鷀,Aves
Phalacrocorax carbo sinensis,鸕鷀,"普通鸕鷀,大鸕鷀",Aves
Phalaropus fulicarius,灰瓣足鷸,灰瓣蹼鷸,Aves
Phalaropus lobatus,紅領瓣足鷸,"紅領瓣蹼鷸,紅頸瓣蹼鷸",Aves
Phoebastria nigripes,黑腳信天翁,,Aves
Phylloscopus borealoides,庫頁島柳鶯,,Aves
Phylloscopus ijimae,飯島柳鶯,艾吉柳鶯,Aves
Phylloscopus inornatus,黃眉柳鶯,,Aves
Phylloscopus plumbeitarsus,雙斑綠柳鶯,,Aves
Phylloscopus soror,淡尾鶲鶯,,Aves
Phylloscopus valentini,比氏鶲鶯,,Aves
Plectrophenax nivalis vlasowae,雪鵐,,Aves
Plegadis falcinellus,彩䴉,彩鹮,Aves
Pluvialis squatarola,灰斑鴴,,Aves
Podiceps cristatus cristatus,冠鸊鷉,鳳頭鸊鷉,Aves
Poliolimnas cinereus,白眉秧雞,白眉田雞,Aves
Prinia flaviventris sonitans,灰頭鷦鶯,黃腹鷦鶯,Aves
Pterodroma hypoleuca,白腹穴鳥,白額圓尾鸌,Aves
Pterorhinus chinensis,黑喉噪眉,黑喉噪鶥,Aves
Pterorhinus perspicillatus,黑臉噪眉,黑臉噪鶥,Aves
Pterorhinus ruficeps,臺灣白喉噪眉,"台灣白喉噪眉,白喉噪眉,白喉笑鶇,繡眼雀鶥,白眶雀鶥",Aves
Rallus aquaticus,西方秧雞,,Aves
Rallus indicus,東亞秧雞,"普通秧雞,秧雞",Aves
Riparia riparia ijimae,灰沙燕,崖沙燕,Aves
Rostratula benghalensis,彩鷸,,Aves
Saxicola stejnegeri,黑喉鴝,黑喉石䳭,Aves
Scolopax rusticola,山鷸,丘鷸,Aves
Sitta europaea sinensis,茶腹鳾,普通鳾,Aves
Sittiparus castaneoventris,赤腹山雀,,Aves
Spatula clypeata,琵嘴鴨,,Aves
Spatula querquedula,白眉鴨,,Aves
Spilornis cheela hoya,大冠鷲,蛇鵰,Aves
Spinus spinus,黃雀,,Aves
Spizixos semitorques cinereicapillus,白環鸚嘴鵯,"白環鸚嘴鵯(台灣亞種),領雀嘴鵯,綠鸚嘴鵯,白環鸚嘴鵯台灣亞種",Aves
Staphida torqueola,栗耳鳳眉,栗耳鳳鶥,Aves
Stercorarius parasiticus,短尾賊鷗,賊鷗,Aves
Stercorarius pomarinus,中賊鷗,,Aves
