ScientificName,ChineseName1,ChineseName2,ChineseName3
Sinobatis melanosoma,黑體海灣無鰭鰩,,魴仔、黑體施氏鰩、黑身司氏裸鯆
Platyrhina tangi,湯氏黃點鯆,湯氏團扇鰩,魴魚、沙帽仔(澎湖)、飯匙(澎湖)、拍仔(澎湖)
Hexatrygon bickelli,比氏六鰓魟,南非六鰓魟,魴仔
Plesiobatis daviesi,達氏深水尾魟,,達氏近魟、魴仔
Urolophus aurantiacus,褐黃扁魟,,黃平魟、金魴仔
Bathytoshia lata,鬼魟,,鬼土魟、魴仔
Dasyatis ushiei,尤氏魟,,牛土魟、魴仔
Hemitrygon akajei,赤魟,,赤土魟、紅魴、牛尾魴
Hemitrygon bennettii,黃魟,,黃土魟、白肉鯆、白玉鯆、黃魟、笨氏土魟、黃魴(澎湖)、紅魴(澎湖)
Hemitrygon laevigata,光魟,,光土魟、魴仔
Hemitrygon navarrae,奈氏魟,,黑土魟、魴仔
Himantura microphthalma,小眼窄尾魟,,魴仔、小眼魟
Himantura uarnak,花點窄尾魟,,豹紋窄尾魟、魴仔、豹紋魟、花點魟、魟仔(臺東)、花魴(澎湖)
Himantura undulata,波緣窄尾魟,,魴仔、豹紋魟
Maculabatis gerrardi,齊氏窄尾魟,,魴仔、花魴(澎湖)
Neotrygon kuhlii,古氏新魟,,魴仔、肉絲魟、古氏土魟、沙帽子(澎湖)、蝙仔(澎湖)、查某仔囝(澎湖)
Pateobatis fai,費氏窄尾魟,,魟魚、烘仔魚
Pteroplatytrygon violacea,紫色翼魟,,紫魟、土魟
Taeniura lymma,藍斑條尾魟,,魴仔、烏魴(澎湖)、牛屎魴(澎湖)
Taeniurops meyeni,邁氏擬條尾魟,,魴仔、烏魴(澎湖)、牛屎魴(澎湖)
Telatrygon acutirostra,尖吻魟,,尖吻土魟、魴仔
Telatrygon zugei,尖嘴魟,,尖嘴土魟、魴仔
Urogymnus asperrimus,糙沙粒魟,,魴仔
Gymnura japonica,日本燕魟,,日本鳶魟、魴仔、臭尿破魴(澎湖)
Gymnura zonura,菱燕魟,條尾燕魟,魴仔
Aetobatus narinari,納氏鷂鱝,,魴仔、燕仔魟(臺東)、花燕子(澎湖)、烏燕仔魴(澎湖)、雪花鴨嘴燕魟
Aetobatus ocellatus,眼斑鷂鱝,,魴仔、燕仔魟(臺東)、花燕子(澎湖)、烏燕仔魴(澎湖)、雪花鴨嘴燕魟
Aetomylaeus maculatus,花點無刺鱝,,星點圓吻燕魟、魴仔
Aetomylaeus milvus,鷹狀無刺鱝,,鷹形圓吻燕魟、魴仔
Aetomylaeus nichofii,聶氏無刺鱝,,青帶圓吻燕魟、魴仔、燕仔魴(澎湖)、飛魴仔(澎湖)、佛祖燕(澎湖)
Aetomylaeus vespertilio,蝠狀無刺鱝,,網紋圓吻燕魟、魴仔
Mobula alfredi,阿氏前口蝠鱝,,飛魴仔、鷹魴、鬼蝠魟
Mobula birostris,雙吻前口蝠鱝,,飛魴仔、鷹魴、鬼蝠魟
Mobula japanica,日本蝠鱝,,日本蝠魟、飛魴仔、鷹魴、燕仔魟(臺東)、角魴(澎湖)、牛港燕(澎湖)、掛角燕(澎湖)
Mobula tarapacana,褐背蝠鱝,,智利蝠魟、飛魴仔、鷹魴
Mobula thurstoni,印度蝠鱝,印度蝠魟,無刺蝠魟、飛魴仔、鷹魴
Myliobatis tobijei,鳶鱝,,燕魟、飛魴仔、鷹魴、土地公燕(澎湖)、飛魴仔(澎湖)
Rhinoptera javanica,爪哇牛鼻鱝,,叉頭燕魟、飛魴仔、鷹魴、烏魴(澎湖)、燕仔魴(澎湖)
Elops machnata,海鰱,,夏威夷海鰱、瀾槽、四破、海鰱(臺東)、竹篙頭(台東)、瀾槽(澎湖)、竹梭(澎湖)、爛土梭(澎湖)
Megalops cyprinoides,大海鰱,,大眼海鰱、海菴、海鰱(臺東)、草鰱(澎湖)、溪鰳(澎湖)、粗鱗鰱(澎湖)、瀾槽（台南）
Albula argentea,太平洋狐鰮,太平洋北梭魚,狐鰮、北梭魚
Albula glossodonta,圓頜狐鰮,圓頜北梭魚,狐鰮、北梭魚、竹篙頭、鱸魚(臺東)、竹篙鰱(澎湖)、林投梭(澎湖)
Albula koreana,東海狐鰮,東海北梭魚,北梭魚、竹篙頭
Pterothrissus gissu,長背魚,,深海狐鰮、竹篙頭
Aldrovandia affinis,異鱗海蜴魚,,海蜥魚
Aldrovandia phalacra,裸頭海蜴魚,,海蜥魚
Halosauropsis macrochir,短吻擬海蜥魚,,海蜥魚
Notacanthus abbotti,長吻背棘魚,,背棘魚
Polyacanthonotus challengeri,白令海多刺背棘魚,,多刺背棘魚、背棘魚
Anguilla bicolor pacifica,太平洋雙色鰻鱺,,短鰭鰻、二色鰻
Anguilla celebesensis,西里伯斯鰻鱺,,西里伯斯鰻、鰻、黑鰻
Anguilla japonica,日本鰻鱺,,白鰻、日本鰻、正鰻、白鱔、鰻鱺、土鰻(澎湖)、淡水鰻(澎湖)
Anguilla luzonensis,呂宋鰻鱺,,呂宋鰻、黃氏鱸鰻
Anguilla marmorata,花鰻鱺,,鱸鰻、花鰻、烏耳鰻、土龍、黑鰻
Moringua abbreviata,短線蚓鰻,線蚓鰻,蚓鰻
Moringua macrocephalus,大頭蚓鰻,,蚓鰻
